No.,Time,Source,Destination,Protocol,Length,Info,Class
754,11.776243,117.18.237.29,Local,TCP,60,TCP Dup ACK,Unknown
756,11.777841,Static,Local,TCP,60,ACK,browsing
759,11.778741,Static,Local,TCP,60,ACK,browsing
760,11.778742,Static,Local,TCP,60,ACK,browsing
761,11.779981,Local,CDN,TCP,54,TCP Dup ACK,browsing
762,11.780017,Local,CDN,TCP,54,TCP Dup ACK,browsing
763,11.780344,CDN,Local,TCP,60,TCP Dup ACK,browsing
764,11.780344,CDN,Local,TCP,60,TCP Dup ACK,browsing
766,11.783479,Local,Static,TCP,54,ACK,browsing
768,11.783603,Local,Static,TCP,54,ACK,browsing
770,11.786368,Static,Local,TCP,60,ACK,browsing
772,11.788743,Local,Static,TCP,54,ACK,browsing
774,11.788765,Local,Static,TCP,54,ACK,browsing
776,11.789343,Static,Local,TCP,60,ACK,browsing
778,11.802058,Google,Local,TCP,60,ACK,browsing
781,11.817959,Local,Google,TCP,54,ACK,browsing
783,11.818224,Google,Local,TCP,60,ACK,browsing
786,11.872788,Local,Google,TCP,74,ACK,browsing
789,11.876556,Local,Static,TCP,74,ACK,browsing
790,11.877946,Google,Local,TCP,60,ACK,browsing
791,11.878023,Local,Google,TCP,54,ACK,browsing
793,11.880892,Google,Local,TCP,60,ACK,browsing
794,11.88191,Static,Local,TCP,60,ACK,browsing
795,11.881965,Local,Static,TCP,54,ACK,browsing
797,11.885899,Static,Local,TCP,60,ACK,browsing
799,11.886264,Local,Google,TCP,54,ACK,browsing
801,11.891639,Local,Static,TCP,54,ACK,browsing
803,11.891922,Local,Static,TCP,54,ACK,browsing
807,11.898033,Static,Local,TCP,60,ACK,browsing
811,11.900622,Static,Local,TCP,60,ACK,browsing
812,11.901073,Local,Static,TCP,74,ACK,browsing
814,11.904811,Local,Static,TCP,54,ACK,browsing
816,11.906115,Local,Static,TCP,54,ACK,browsing
817,11.906309,Static,Local,TCP,60,ACK,browsing
818,11.906345,Local,Static,TCP,54,ACK,browsing
820,11.914391,Google,Local,TCP,60,ACK,browsing
822,11.915239,Google,Local,TCP,60,ACK,browsing
824,11.915494,Google,Local,TCP,60,ACK,browsing
827,11.919902,Local,Google,TCP,54,ACK,browsing
829,11.920058,Local,Google,TCP,54,ACK,browsing
830,11.920047,Static,Local,TCP,60,ACK,browsing
832,11.921337,Static,Local,TCP,60,ACK,browsing
834,11.922146,Google,Local,TCP,60,ACK,browsing
837,11.922749,Static,Local,TCP,60,ACK,browsing
838,11.922797,Static,Local,TCP,60,ACK,browsing
840,11.925885,Local,Static,TCP,54,ACK,browsing
842,11.92605,Local,Static,TCP,54,ACK,browsing
844,11.927757,Local,Static,TCP,54,ACK,browsing
846,11.928326,Local,Static,TCP,54,ACK,browsing
849,11.936157,Local,Google,TCP,54,ACK,browsing
850,11.936102,Static,Local,TCP,60,ACK,browsing
853,11.937388,Static,Local,TCP,60,ACK,browsing
854,11.937388,Google,Local,TCP,60,ACK,browsing
856,11.942062,Local,Static,TCP,54,ACK,browsing
858,11.942128,Local,Static,TCP,54,ACK,browsing
860,11.942148,Local,Static,TCP,54,ACK,browsing
862,11.942373,Local,Static,TCP,54,ACK,browsing
864,11.942395,Local,Static,TCP,54,ACK,browsing
866,11.942936,Local,Static,TCP,54,ACK,browsing
