Address A,Port A,Address B,Port B,Packets,Bytes,Stream ID,Total Packets,Percent Filtered,Packets A to B,Bytes A to B,Packets B to A,Bytes B to A,Rel Start,Duration,Bits A to B,Bits B to A,classification
2406:3003:2003:1c3b:dd11:a88e:d7a1:7c72,65446,2603:1047:1:168::18,443,83,31900,763,0,0,64,23350,19,8550,438.949242,0.652662,286212,104801,Google
192.168.10.126,65447,192.168.10.1,53,17,1126,764,0,0,12,744,5,382,442.209801,0.026596,223793,114904,Admin
192.168.10.126,65448,192.168.10.1,53,17,1090,765,0,0,12,744,5,346,442.21015,0.020178,294974,137179,Admin
192.168.10.126,65449,192.168.10.1,53,17,1138,766,0,0,12,744,5,394,442.210424,0.028298,210332,111385,Admin
192.168.10.126,65450,52.20.78.240,443,70,17521,767,0,0,46,9790,24,7731,451.251926,62.21437,1258,994,Unclear
192.168.10.126,65451,192.168.10.1,53,15,1109,768,0,0,10,634,5,475,453.205841,0.049098,103303,77396,Admin
192.168.10.126,65452,192.168.10.1,53,17,1361,769,0,0,12,742,5,619,453.206073,0.052891,112230,93626,Admin
192.168.10.126,65453,192.168.10.1,53,17,1488,770,0,0,12,742,5,746,453.206194,0.0456,130175,130877,Admin
192.168.10.126,65454,192.168.10.1,53,15,1086,771,0,0,10,630,5,456,453.753628,0.031924,157874,114271,Admin
192.168.10.126,65455,192.168.10.1,53,15,1085,772,0,0,10,630,5,455,453.753816,0.063766,79038,57083,Admin
192.168.10.126,65456,192.168.10.1,53,17,1194,773,0,0,12,738,5,456,453.753948,0.067305,87720,54201,Admin
192.168.10.126,65457,52.20.78.240,443,70,25003,774,0,0,48,13716,22,11287,453.818232,120.066714,913,752,Unclear
192.168.10.126,65458,52.20.78.240,443,69,25100,775,0,0,46,13724,23,11376,454.005122,119.878142,915,759,Unclear
192.168.10.126,65459,52.20.78.240,443,56,14260,776,0,0,36,6898,20,7362,454.55617,119.322908,462,493,Unclear
192.168.10.126,65460,192.168.10.1,53,2,132,777,0,0,2,132,0,0,455.210623,9.00E-06,,,Admin
192.168.10.126,65461,192.168.10.1,53,2,132,778,0,0,2,132,0,0,455.210904,4.00E-06,,,Admin
192.168.10.126,65462,192.168.10.1,53,17,1303,779,0,0,12,780,5,523,455.211098,0.040129,155498,104263,Admin
192.168.10.126,65463,192.168.10.1,53,15,1075,780,0,0,10,634,5,441,455.223882,0.038472,131836,91703,Admin
192.168.10.126,65464,192.168.10.1,53,17,1155,781,0,0,12,742,5,413,455.224559,0.052804,112415,62571,Admin
192.168.10.126,65465,192.168.10.1,53,15,1013,782,0,0,10,634,5,379,455.225258,0.041693,121651,72722,Admin
192.168.10.126,65466,192.168.10.1,53,15,1024,783,0,0,10,656,5,368,455.227884,0.049608,105789,59345,Admin
192.168.10.126,65467,192.168.10.1,53,15,1000,784,0,0,10,656,5,344,455.228703,0.049035,107025,56123,Admin
192.168.10.126,65468,192.168.10.1,53,15,1046,785,0,0,10,656,5,390,455.229122,0.05685,92313,54881,Admin
192.168.10.126,65469,192.168.10.1,53,17,1293,786,0,0,12,776,5,517,455.229788,0.047706,130130,86697,Admin
192.168.10.126,65470,192.168.10.1,53,17,1257,787,0,0,12,776,5,481,455.230092,0.047433,130879,81124,Admin
192.168.10.126,65471,192.168.10.1,53,15,1186,788,0,0,10,668,5,518,455.230334,0.055563,96179,74582,Admin
192.168.10.126,65472,79.127.213.244,443,44,13562,789,0,0,28,4808,16,8754,455.230936,25.986197,1480,2694,Google
192.168.10.126,65473,192.168.10.1,53,17,1188,790,0,0,12,760,5,428,455.258595,0.042055,144572,81417,Admin
192.168.10.126,65474,192.168.10.1,53,17,1168,791,0,0,12,760,5,408,455.25887,0.04178,145524,78123,Admin
192.168.10.126,65475,192.168.10.1,53,17,1176,792,0,0,12,760,5,416,455.259049,0.045012,135075,73935,Admin
192.168.10.126,65477,79.127.213.240,443,43,10168,793,0,0,28,3590,15,6578,455.295954,118.367466,242,444,Google
192.168.10.126,65478,192.168.10.1,53,17,1150,794,0,0,12,740,5,410,455.336393,0.036554,161952,89730,Admin
192.168.10.126,65479,192.168.10.1,53,15,1018,795,0,0,10,632,5,386,455.336672,0.045232,111779,68270,Admin
192.168.10.126,65480,192.168.10.1,53,17,1255,796,0,0,12,740,5,515,455.336875,0.04809,123102,85672,Admin
2406:3003:2003:1c3b:dd11:a88e:d7a1:7c72,65481,2606:4700:3110::6812:336a,443,38,9696,797,0,0,24,2614,14,7082,455.356033,15.385269,1359,3682,Google
192.168.10.126,65482,192.168.10.1,53,18,1462,798,0,0,12,884,6,578,455.373765,0.418868,16883,11039,Admin
192.168.10.126,65483,192.168.10.1,53,20,1517,799,0,0,14,992,6,525,455.373959,0.424387,18699,9896,Admin
192.168.10.126,65484,192.168.10.1,53,20,1574,800,0,0,14,992,6,582,455.374171,0.418463,18964,11126,Admin
192.168.10.126,65485,192.168.10.1,53,17,1247,801,0,0,12,780,5,467,455.674975,0.134248,46481,27829,Admin
2406:3003:2003:1c3b:dd11:a88e:d7a1:7c72,65486,2406:3003:2003:1c3b:5aef:68ff:febf:8de0,53,2,172,802,0,0,2,172,0,0,455.675302,4.00E-06,,,Google
192.168.10.126,65487,192.168.10.1,53,17,1188,803,0,0,12,760,5,428,455.819623,0.069708,87220,49119,Admin
192.168.10.126,65488,192.168.10.1,53,17,1168,804,0,0,12,760,5,408,455.819824,0.031307,194205,104257,Admin
192.168.10.126,65489,192.168.10.1,53,17,1188,805,0,0,12,760,5,428,455.819978,0.037834,160702,90500,Admin
192.168.10.126,65490,192.168.10.1,53,17,1235,806,0,0,12,780,5,455,456.149259,0.027728,225043,131275,Admin
192.168.10.126,65491,79.127.213.243,443,36,11119,807,0,0,22,4492,14,6627,456.209225,11.040814,3254,4801,Google
192.168.10.126,65492,192.168.10.1,53,15,1058,808,0,0,10,636,5,422,456.211705,0.034799,146211,97014,Admin
192.168.10.126,65493,192.168.10.1,53,17,1154,809,0,0,12,744,5,410,456.212067,0.034519,172426,95020,Admin
192.168.10.126,65494,192.168.10.1,53,17,1195,810,0,0,12,744,5,451,456.212303,0.034202,174024,105490,Admin
192.168.10.126,65495,79.127.213.240,443,41,10112,811,0,0,26,3364,15,6748,456.452401,117.211179,229,460,Google
192.168.10.126,65496,79.127.213.240,443,33,7363,812,0,0,20,1796,13,5567,456.474252,15.75269,912,2827,Google
192.168.10.126,65497,79.127.213.243,443,36,11093,813,0,0,22,4492,14,6601,462.349341,15.884896,2262,3324,Google
192.168.10.126,65498,192.168.10.1,53,15,1080,814,0,0,10,652,5,428,470.732415,0.025708,202894,133188,Admin
192.168.10.126,65499,192.168.10.1,53,15,1060,815,0,0,10,652,5,408,470.732586,0.028583,182486,114193,Admin
192.168.10.126,65500,192.168.10.1,53,17,1188,816,0,0,12,760,5,428,470.732708,0.025406,239313,134771,Admin
192.168.10.126,65501,79.127.213.243,443,34,8620,817,0,0,22,3148,12,5472,470.967614,12.274672,2051,3566,Google
192.168.10.126,65502,192.168.10.1,53,15,1068,818,0,0,10,652,5,416,472.20879,0.032178,162098,103424,Admin
192.168.10.126,65503,192.168.10.1,53,17,1168,819,0,0,12,760,5,408,472.209146,0.031817,191092,102586,Admin
192.168.10.126,65504,192.168.10.1,53,17,1176,820,0,0,12,760,5,416,472.209411,0.026512,229330,125528,Admin
192.168.10.126,65505,10.91.66.245,7680,10,660,821,0,0,10,660,0,0,473.678671,15.001301,351,0,Unclear
192.168.10.126,65506,10.91.9.187,7680,10,660,822,0,0,10,660,0,0,473.684054,15.001313,351,0,Unclear
192.168.10.126,65507,79.127.213.244,443,41,9027,823,0,0,26,3348,15,5679,481.211976,11.304236,2369,4019,Google
192.168.10.126,65508,192.168.10.1,53,17,1176,824,0,0,12,760,5,416,483.208398,0.032473,187232,102485,Admin
192.168.10.126,65509,192.168.10.1,53,15,1048,825,0,0,10,652,5,396,483.208827,0.024209,215457,130860,Admin
192.168.10.126,65510,192.168.10.1,53,17,1188,826,0,0,12,760,5,428,483.209137,0.034682,175307,98725,Admin
192.168.10.126,65511,79.127.213.241,443,46,15817,827,0,0,28,7612,18,8205,483.233928,10.993834,5539,5970,Google
192.168.10.126,65512,79.127.213.241,443,26,4633,828,0,0,18,3602,8,1031,486.219478,13.191268,2184,625,Google
